row_id,timestamp,employee_id,greenhouse_id,action
441,2025-05-01T08:21:30,EMP8,GH2,IN
502,2025-05-01T08:27:07,EMP9,GH2,OUT
248,2025-05-01T08:27:57,EMP5,GH1,IN
375,2025-05-01T08:56:35,EMP7,GH1,OUT
566,2025-05-01T09:39:32,EMP10,GH2,IN
184,2025-05-01T10:02:55,EMP4,GH2,IN
313,2025-05-01T10:20:35,EMP6,GH1,OUT
503,2025-05-01T12:44:06,EMP9,GH2,IN
2,2025-05-01T12:56:59,EMP1,GH3,OUT
60,2025-05-01T13:14:56,EMP2,GH3,OUT
377,2025-05-01T14:50:45,EMP7,GH1,OUT
504,2025-05-01T15:38:11,EMP9,GH2,OUT
122,2025-05-01T15:58:58,EMP3,GH3,OUT
442,2025-05-01T16:29:30,EMP8,GH2,OUT
1,2025-05-01T16:47:50,EMP1,GH3,OUT
247,2025-05-01T17:08:37,EMP5,GH1,OUT
0,2025-05-01T17:42:09,EMP1,GH3,OUT
376,2025-05-01T17:52:32,EMP7,GH1,OUT
185,2025-05-01T18:51:14,EMP4,GH2,IN
61,2025-05-01T19:47:39,EMP2,GH3,IN
567,2025-05-02T07:51:48,EMP10,GH3,IN
443,2025-05-02T08:28:19,EMP8,GH3,IN
250,2025-05-02T08:40:25,EMP5,GH1,OUT
188,2025-05-02T10:30:31,EMP4,GH1,IN
505,2025-05-02T10:59:33,EMP9,GH3,IN
62,2025-05-02T11:48:14,EMP2,GH1,IN
506,2025-05-02T11:57:54,EMP9,GH3,OUT
4,2025-05-02T13:23:12,EMP1,GH3,OUT
63,2025-05-02T13:38:20,EMP2,GH1,OUT
380,2025-05-02T13:39:48,EMP7,GH3,IN
187,2025-05-02T13:55:34,EMP4,GH1,OUT
444,2025-05-02T14:03:09,EMP8,GH3,OUT
379,2025-05-02T15:22:28,EMP7,GH3,OUT
64,2025-05-02T15:47:30,EMP2,GH1,OUT
123,2025-05-02T16:05:45,EMP3,GH3,IN
378,2025-05-02T16:24:19,EMP7,GH3,IN
314,2025-05-02T16:42:44,EMP6,GH1,IN
5,2025-05-02T17:58:19,EMP1,GH3,IN
3,2025-05-02T19:48:50,EMP1,GH3,OUT
186,2025-05-02T19:49:21,EMP4,GH1,IN
249,2025-05-02T20:19:38,EMP5,GH1,IN
65,2025-05-03T06:08:35,EMP2,GH1,OUT
315,2025-05-03T07:07:47,EMP6,GH2,IN
253,2025-05-03T07:11:29,EMP5,GH3,IN
126,2025-05-03T07:34:28,EMP3,GH3,OUT
445,2025-05-03T08:44:30,EMP8,GH1,IN
67,2025-05-03T08:48:45,EMP2,GH1,OUT
507,2025-05-03T08:51:04,EMP9,GH1,IN
382,2025-05-03T09:32:18,EMP7,GH3,OUT
251,2025-05-03T09:51:38,EMP5,GH3,OUT
383,2025-05-03T10:11:33,EMP7,GH3,OUT
7,2025-05-03T11:57:18,EMP1,GH1,OUT
66,2025-05-03T13:31:31,EMP2,GH1,OUT
381,2025-05-03T13:43:41,EMP7,GH3,IN
446,2025-05-03T14:29:27,EMP8,GH1,IN
6,2025-05-03T15:03:10,EMP1,GH1,OUT
8,2025-05-03T15:03:53,EMP1,GH1,IN
125,2025-05-03T16:38:04,EMP3,GH3,IN
252,2025-05-03T16:41:39,EMP5,GH3,OUT
569,2025-05-03T16:50:48,EMP10,GH3,IN
189,2025-05-03T16:56:44,EMP4,GH3,OUT
509,2025-05-03T17:42:08,EMP9,GH1,IN
568,2025-05-03T18:19:21,EMP10,GH3,OUT
508,2025-05-03T19:10:44,EMP9,GH1,OUT
124,2025-05-03T20:31:11,EMP3,GH3,OUT
384,2025-05-04T06:54:33,EMP7,GH1,OUT
255,2025-05-04T08:05:20,EMP5,GH2,IN
192,2025-05-04T09:37:41,EMP4,GH2,IN
191,2025-05-04T09:40:51,EMP4,GH2,OUT
190,2025-05-04T10:49:00,EMP4,GH2,OUT
128,2025-05-04T11:04:24,EMP3,GH2,IN
449,2025-05-04T12:08:27,EMP8,GH2,IN
317,2025-05-04T12:53:08,EMP6,GH2,OUT
570,2025-05-04T13:08:52,EMP10,GH2,IN
254,2025-05-04T13:14:40,EMP5,GH2,IN
9,2025-05-04T15:20:21,EMP1,GH3,OUT
385,2025-05-04T15:35:28,EMP7,GH1,IN
68,2025-05-04T16:49:16,EMP2,GH3,OUT
510,2025-05-04T17:02:30,EMP9,GH3,IN
448,2025-05-04T17:09:15,EMP8,GH2,IN
447,2025-05-04T17:33:08,EMP8,GH2,OUT
127,2025-05-04T17:46:37,EMP3,GH2,OUT
386,2025-05-04T20:17:58,EMP7,GH1,OUT
316,2025-05-04T20:54:14,EMP6,GH2,OUT
71,2025-05-05T06:46:48,EMP2,GH3,OUT
69,2025-05-05T07:40:46,EMP2,GH3,IN
256,2025-05-05T08:14:40,EMP5,GH1,IN
195,2025-05-05T08:14:53,EMP4,GH2,IN
452,2025-05-05T08:21:40,EMP8,GH3,OUT
571,2025-05-05T09:07:46,EMP10,GH2,IN
318,2025-05-05T09:40:33,EMP6,GH1,OUT
194,2025-05-05T10:00:54,EMP4,GH2,IN
451,2025-05-05T11:02:55,EMP8,GH3,IN
10,2025-05-05T11:50:43,EMP1,GH1,OUT
193,2025-05-05T12:57:28,EMP4,GH2,IN
512,2025-05-05T14:04:40,EMP9,GH1,IN
11,2025-05-05T15:35:22,EMP1,GH1,IN
511,2025-05-05T16:57:00,EMP9,GH1,OUT
129,2025-05-05T17:07:19,EMP3,GH3,OUT
70,2025-05-05T17:31:11,EMP2,GH3,IN
319,2025-05-05T17:35:19,EMP6,GH1,IN
387,2025-05-05T18:21:08,EMP7,GH2,OUT
450,2025-05-05T18:31:24,EMP8,GH3,OUT
572,2025-05-05T20:47:28,EMP10,GH2,OUT
322,2025-05-06T06:02:49,EMP6,GH3,OUT
573,2025-05-06T06:33:19,EMP10,GH2,OUT
14,2025-05-06T09:05:25,EMP1,GH3,IN
454,2025-05-06T09:18:05,EMP8,GH1,IN
72,2025-05-06T10:14:39,EMP2,GH3,OUT
513,2025-05-06T10:18:08,EMP9,GH2,OUT
514,2025-05-06T10:46:44,EMP9,GH2,IN
12,2025-05-06T11:55:36,EMP1,GH3,OUT
196,2025-05-06T11:55:37,EMP4,GH3,IN
320,2025-05-06T13:16:43,EMP6,GH3,IN
198,2025-05-06T13:27:21,EMP4,GH3,IN
258,2025-05-06T14:20:34,EMP5,GH2,OUT
321,2025-05-06T16:41:49,EMP6,GH3,IN
73,2025-05-06T17:17:01,EMP2,GH3,IN
257,2025-05-06T17:33:24,EMP5,GH2,OUT
453,2025-05-06T17:55:06,EMP8,GH1,OUT
13,2025-05-06T19:23:54,EMP1,GH3,OUT
130,2025-05-06T19:41:35,EMP3,GH1,OUT
197,2025-05-06T20:09:40,EMP4,GH3,OUT
388,2025-05-06T20:24:04,EMP7,GH3,IN
259,2025-05-07T06:08:29,EMP5,GH1,OUT
74,2025-05-07T07:00:04,EMP2,GH2,IN
516,2025-05-07T07:28:41,EMP9,GH3,OUT
574,2025-05-07T09:17:13,EMP10,GH2,OUT
260,2025-05-07T10:28:26,EMP5,GH1,OUT
15,2025-05-07T12:18:40,EMP1,GH2,IN
323,2025-05-07T12:29:17,EMP6,GH1,IN
16,2025-05-07T12:36:07,EMP1,GH2,OUT
132,2025-05-07T13:44:03,EMP3,GH3,OUT
324,2025-05-07T14:48:27,EMP6,GH1,OUT
75,2025-05-07T15:30:13,EMP2,GH2,IN
199,2025-05-07T15:44:00,EMP4,GH1,IN
261,2025-05-07T15:48:29,EMP5,GH1,OUT
455,2025-05-07T16:48:37,EMP8,GH2,IN
131,2025-05-07T16:49:41,EMP3,GH3,IN
515,2025-05-07T17:09:57,EMP9,GH3,OUT
389,2025-05-07T18:03:52,EMP7,GH3,OUT
517,2025-05-07T18:23:53,EMP9,GH3,IN
200,2025-05-07T18:44:10,EMP4,GH1,OUT
133,2025-05-08T06:08:19,EMP3,GH1,OUT
518,2025-05-08T07:22:32,EMP9,GH1,IN
519,2025-05-08T07:33:43,EMP9,GH1,OUT
17,2025-05-08T09:03:10,EMP1,GH2,OUT
575,2025-05-08T09:54:00,EMP10,GH3,OUT
520,2025-05-08T10:10:29,EMP9,GH1,OUT
325,2025-05-08T10:27:13,EMP6,GH1,OUT
201,2025-05-08T10:49:09,EMP4,GH3,OUT
77,2025-05-08T11:00:24,EMP2,GH3,IN
576,2025-05-08T12:02:57,EMP10,GH3,IN
18,2025-05-08T13:02:18,EMP1,GH2,OUT
262,2025-05-08T13:04:55,EMP5,GH2,OUT
456,2025-05-08T13:31:34,EMP8,GH1,OUT
327,2025-05-08T13:40:07,EMP6,GH1,IN
390,2025-05-08T14:09:02,EMP7,GH2,IN
19,2025-05-08T14:26:08,EMP1,GH2,OUT
202,2025-05-08T14:49:39,EMP4,GH3,OUT
391,2025-05-08T16:23:42,EMP7,GH2,IN
76,2025-05-08T16:42:27,EMP2,GH3,OUT
457,2025-05-08T18:27:08,EMP8,GH1,OUT
326,2025-05-08T18:54:57,EMP6,GH1,OUT
203,2025-05-08T19:07:54,EMP4,GH3,OUT
78,2025-05-08T20:00:42,EMP2,GH3,IN
458,2025-05-08T20:18:32,EMP8,GH1,IN
263,2025-05-09T06:19:02,EMP5,GH2,OUT
79,2025-05-09T06:28:17,EMP2,GH2,IN
20,2025-05-09T06:42:57,EMP1,GH1,OUT
459,2025-05-09T07:26:01,EMP8,GH1,OUT
393,2025-05-09T08:07:47,EMP7,GH3,IN
134,2025-05-09T08:28:34,EMP3,GH3,IN
264,2025-05-09T08:29:24,EMP5,GH2,IN
328,2025-05-09T09:32:54,EMP6,GH3,IN
330,2025-05-09T09:38:40,EMP6,GH3,IN
579,2025-05-09T11:31:56,EMP10,GH2,OUT
460,2025-05-09T11:53:29,EMP8,GH1,IN
204,2025-05-09T12:43:31,EMP4,GH3,OUT
577,2025-05-09T13:26:39,EMP10,GH2,OUT
329,2025-05-09T13:52:56,EMP6,GH3,IN
578,2025-05-09T14:21:36,EMP10,GH2,OUT
521,2025-05-09T16:10:47,EMP9,GH1,IN
392,2025-05-09T18:32:03,EMP7,GH3,IN
394,2025-05-09T20:31:27,EMP7,GH3,IN
522,2025-05-09T20:43:23,EMP9,GH1,IN
524,2025-05-10T06:49:58,EMP9,GH3,OUT
580,2025-05-10T07:58:21,EMP10,GH2,OUT
136,2025-05-10T08:31:38,EMP3,GH2,OUT
395,2025-05-10T08:37:34,EMP7,GH2,OUT
461,2025-05-10T10:01:13,EMP8,GH1,IN
331,2025-05-10T10:11:09,EMP6,GH2,OUT
80,2025-05-10T10:38:53,EMP2,GH1,IN
21,2025-05-10T12:40:48,EMP1,GH1,IN
525,2025-05-10T12:49:54,EMP9,GH3,OUT
265,2025-05-10T13:26:40,EMP5,GH1,IN
135,2025-05-10T17:40:15,EMP3,GH2,IN
332,2025-05-10T17:41:02,EMP6,GH2,IN
137,2025-05-10T18:43:08,EMP3,GH2,IN
396,2025-05-10T19:35:00,EMP7,GH2,OUT
523,2025-05-10T20:32:09,EMP9,GH3,OUT
205,2025-05-10T20:41:32,EMP4,GH3,OUT
268,2025-05-11T06:09:48,EMP5,GH3,OUT
138,2025-05-11T07:48:21,EMP3,GH1,OUT
266,2025-05-11T08:58:13,EMP5,GH3,OUT
208,2025-05-11T09:02:57,EMP4,GH2,OUT
24,2025-05-11T09:28:17,EMP1,GH2,IN
207,2025-05-11T09:37:59,EMP4,GH2,OUT
581,2025-05-11T10:13:04,EMP10,GH3,IN
206,2025-05-11T12:26:00,EMP4,GH2,IN
22,2025-05-11T12:28:15,EMP1,GH2,OUT
397,2025-05-11T13:04:22,EMP7,GH3,IN
82,2025-05-11T14:18:21,EMP2,GH2,OUT
267,2025-05-11T14:28:00,EMP5,GH3,IN
139,2025-05-11T15:02:48,EMP3,GH1,IN
528,2025-05-11T15:42:34,EMP9,GH2,IN
81,2025-05-11T17:16:50,EMP2,GH2,OUT
23,2025-05-11T17:25:03,EMP1,GH2,OUT
333,2025-05-11T17:49:06,EMP6,GH1,OUT
582,2025-05-11T17:49:17,EMP10,GH3,IN
462,2025-05-11T17:50:37,EMP8,GH1,OUT
527,2025-05-11T17:50:47,EMP9,GH2,OUT
526,2025-05-11T18:14:47,EMP9,GH2,IN
463,2025-05-11T20:22:26,EMP8,GH1,IN
464,2025-05-12T06:47:37,EMP8,GH3,OUT
84,2025-05-12T07:06:29,EMP2,GH1,IN
529,2025-05-12T10:08:06,EMP9,GH2,OUT
269,2025-05-12T12:23:18,EMP5,GH1,IN
398,2025-05-12T12:32:25,EMP7,GH3,OUT
335,2025-05-12T12:55:32,EMP6,GH3,IN
210,2025-05-12T13:12:01,EMP4,GH1,OUT
583,2025-05-12T14:18:39,EMP10,GH2,OUT
25,2025-05-12T16:52:45,EMP1,GH1,OUT
334,2025-05-12T16:52:58,EMP6,GH3,OUT
83,2025-05-12T17:51:20,EMP2,GH1,IN
209,2025-05-12T18:36:39,EMP4,GH1,OUT
584,2025-05-12T19:40:35,EMP10,GH2,OUT
141,2025-05-12T20:02:49,EMP3,GH3,IN
140,2025-05-12T20:10:52,EMP3,GH3,IN
28,2025-05-13T06:06:52,EMP1,GH1,IN
271,2025-05-13T06:51:07,EMP5,GH1,OUT
143,2025-05-13T06:59:49,EMP3,GH2,OUT
212,2025-05-13T07:40:25,EMP4,GH1,IN
336,2025-05-13T07:43:05,EMP6,GH1,OUT
466,2025-05-13T10:44:23,EMP8,GH2,IN
85,2025-05-13T11:16:09,EMP2,GH1,IN
213,2025-05-13T13:23:02,EMP4,GH1,OUT
270,2025-05-13T14:30:44,EMP5,GH1,OUT
211,2025-05-13T14:52:09,EMP4,GH1,OUT
585,2025-05-13T14:53:12,EMP10,GH2,OUT
530,2025-05-13T14:54:08,EMP9,GH1,IN
26,2025-05-13T15:09:03,EMP1,GH1,IN
465,2025-05-13T16:06:11,EMP8,GH2,IN
399,2025-05-13T16:12:39,EMP7,GH2,OUT
586,2025-05-13T16:31:10,EMP10,GH2,OUT
272,2025-05-13T17:00:41,EMP5,GH1,IN
27,2025-05-13T18:43:07,EMP1,GH1,IN
142,2025-05-13T20:49:35,EMP3,GH2,OUT
468,2025-05-14T07:09:20,EMP8,GH2,IN
29,2025-05-14T07:27:51,EMP1,GH3,OUT
146,2025-05-14T08:09:36,EMP3,GH1,OUT
144,2025-05-14T08:10:53,EMP3,GH1,OUT
588,2025-05-14T09:11:57,EMP10,GH2,OUT
273,2025-05-14T10:54:41,EMP5,GH1,IN
589,2025-05-14T11:07:22,EMP10,GH2,IN
467,2025-05-14T11:13:32,EMP8,GH2,OUT
401,2025-05-14T11:38:20,EMP7,GH1,IN
532,2025-05-14T12:05:33,EMP9,GH3,IN
274,2025-05-14T13:15:50,EMP5,GH1,IN
214,2025-05-14T13:34:25,EMP4,GH2,IN
531,2025-05-14T13:58:58,EMP9,GH3,IN
338,2025-05-14T16:54:21,EMP6,GH3,IN
339,2025-05-14T16:59:22,EMP6,GH3,IN
30,2025-05-14T17:30:51,EMP1,GH3,OUT
88,2025-05-14T17:32:19,EMP2,GH3,IN
337,2025-05-14T17:41:17,EMP6,GH3,OUT
145,2025-05-14T18:03:39,EMP3,GH1,IN
86,2025-05-14T18:48:01,EMP2,GH3,IN
587,2025-05-14T18:56:35,EMP10,GH2,OUT
400,2025-05-14T19:22:03,EMP7,GH1,OUT
87,2025-05-14T20:13:17,EMP2,GH3,IN
402,2025-05-14T20:26:25,EMP7,GH1,OUT
590,2025-05-15T06:25:28,EMP10,GH3,OUT
533,2025-05-15T07:00:43,EMP9,GH3,OUT
340,2025-05-15T07:04:20,EMP6,GH1,OUT
469,2025-05-15T07:34:51,EMP8,GH2,IN
215,2025-05-15T07:46:02,EMP4,GH1,OUT
31,2025-05-15T08:46:20,EMP1,GH2,OUT
276,2025-05-15T09:39:08,EMP5,GH3,OUT
534,2025-05-15T10:50:12,EMP9,GH3,IN
341,2025-05-15T11:05:46,EMP6,GH1,IN
470,2025-05-15T11:48:10,EMP8,GH2,IN
403,2025-05-15T11:59:41,EMP7,GH1,OUT
91,2025-05-15T12:29:47,EMP2,GH2,IN
404,2025-05-15T12:35:28,EMP7,GH1,OUT
148,2025-05-15T16:34:42,EMP3,GH1,IN
